,CntName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12030,11901,10433,8482,8451,9303,8053,7461,6121,4100,0,0,0,0
1,Australia,90860,85600,92340,100510,96360,93440,92450,97770,104770,120040,137470,143710,143660,140420,141680,149360,158260,176560,179600,185670,206120,216130,222940,224890,212200,206690,204800,216580,220280,0,0,0,0,0
2,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63861,67094,128544,133846,128944,72654,149662,143992,143442,140266,148864,99796,103126,106488,103302,102394,103624,108142
3,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16033,13151,15703,10498,9142,9947,7288,4320,3754,2800,2919,2644,3090,2530,1373,0,0,0,0
4,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13812,14270,13378,12986,12510,11082,8498,9479,9268,7643,0,0,0,0
5,Belgium,50213,57295,58704,57260,53309,50912,50619,53270,45225,40813,40310,49619,37855,43028,46884,48187,47000,50960,144174,148194,150640,150522,151920,158798,167790,173798,176326,182104,200550,0,132026,134950,149440,181600
6,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6697,5668,20151,0,0,33230,39356
7,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,8859,9169,10163,15413,10027,18531,7310,28570,5916,7488,23534,13068,13624,6011,15384,18004,14976,9938,0,25398,25754,30524
9,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,11268,13909,14970,8874,12558,20006,13748,22778,21000,19658,8586,9790,36210,50454
