,CntName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,1764,1715,1926,1514,1497,1335,1112,864,861,0,0,0,0
1,Australia,184290,212690,195200,153570,153530,172550,196690,221620,253860,238050,234050,237240,220460,197940,221920,253940,261330,260220,268390,289870,317560,356410,361990,388450,350990,363470,402210,460650,535970,0,0,0,0,0
2,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132795,132987,145446,173420,163351,179856,216250,223738,245094,228930,197070,145724,147544,138590,141956,164460,183114,203732
3,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6222,5781,7528,5404,4806,4361,2574,1257,2500,2407,2019,2232,1970,3597,2292,0,0,0,0
4,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25943,23355,18939,18145,14641,13031,14124,14155,17412,19891,0,0,0,0
5,Belgium,102274,91184,82636,81444,86729,85351,88088,90873,90080,99873,114193,122573,121788,122800,61216,55426,57354,54676,167624,183248,178776,220820,227714,224120,234472,265620,275398,292818,164152,0,270562,289396,294774,236512
6,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,2472,3249,0,0,28206,37140
7,Canada,143137,128641,121175,89185,88272,84346,99351,152075,161585,191550,216451,232802,254787,256638,224382,212864,226071,216036,174195,189950,227455,250636,229049,221349,235822,262242,251640,236753,247244,252170,280687,248748,257903,259021
8,Croatia,0,0,0,0,0,0,0,0,0,0,0,10050,48324,57702,33426,42026,44596,52343,51784,65820,0,48830,40730,36910,36766,0,29956,29244,14541,0,0,17068,17918,20756
9,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,9994,0,0,0,0,6149,17343,8523,25528,34970,28740,33558,44006,48838,31090,38034,14095,11675,40412,46074,34952,26298
10,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10207,10540,10857,12880,0,19820,15604,25836,89358,120030,106906,120588,136366,208890,216534,151240,96634,54228,68674,60248
11,Denmark,60119,55369,56084,55109,57677,71445,75373,70752,68412,74567,79454,84756,84809,85944,89414,125466,106277,99752,102744,100472,105830,111968,105556,99508,99720,104916,113500,129312,114714,103600,104472,105666,108818,120624
12,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,2587,1967,1396,1229,1114,1156,2438,2396,70,482,1150,1934,2194,2872,4468,7482,7342,7768,5620,7418,5278,8218
13,Finland,13626,15771,14661,26847,23063,20626,19398,17801,18938,21917,25218,32269,28910,27778,23137,24378,26517,27124,28384,29488,33790,37910,36226,35676,40666,42710,44902,52058,58228,53398,51272,58962,62556,63882
14,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57846,0,0,0,0,0,0,603088,587960,593216,593940,614222,639632,654862,665280
15,Germany,1440273,1191306,798630,706179,845173,965537,1132505,1192303,1748814,2979066,3185670,2112380,2669498,2378178,1004599,2130154,1870442,1645008,1604912,1748046,1682316,1758434,1685086,1537950,1560350,1414704,1323710,1361532,1364292,692432,808110,978844,1184350,1385426
16,Greece,0,0,0,0,0,33729,30569,34787,37322,38644,42021,24346,32133,27472,0,20859,22214,22078,12630,0,0,0,0,0,0,0,0,86092,199710,117226,120924,120178,116400,115892
17,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13300,13332,12826,17269,21422,21726,22079,19855,21327,24298,27820,25732,24361,75304,55788,51038,56036,67404,77936
18,Iceland,1796,2161,2293,2154,1939,1827,5399,7207,8211,5476,6261,7843,5833,5356,5319,5718,7298,7934,9126,9570,10406,10004,8430,7408,10700,15546,19664,25092,20576,7842,7896,8146,9920,12812
19,Ireland,0,0,0,0,0,0,0,17000,19000,27000,33000,33000,41000,35000,30000,38000,39000,45625,96350,103350,114800,129850,123450,117750,156150,204000,278868,244830,165184,101208,104678,106448,108878,118588
20,Italy,0,91495,100100,98330,86915,82183,75725,104459,85791,81201,166754,219566,197192,170064,164446,167544,319905,306069,313770,370104,453936,416504,445602,940982,889132,651346,595280,1116038,1069424,885880,917712,771586,701544,614908
21,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50166,54992,59502,68503,69559,75817,66747,52574,44975,42032,0,0,0,0
22,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,40939,37558,26275,23015,20104,18368,15910,12799,10219,7879,5349,5048,4893,4483,3284,3761,3420,3955,3497,0,0,0,0,0
23,Latvia,0,0,0,0,0,0,0,0,0,0,32285,14684,6199,4114,3046,2799,2747,2913,6246,3626,12966,10752,13284,8126,9688,13382,16424,15034,9356,7462,8022,20468,26606,16598
24,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,0,0,0,0,0,0,0,0,578,584,591,650,671,696
25,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,6640,2850,1664,2020,3025,2536,5412,5358,3020,9388,10220,9456,11106,13578,15490,17218,18594,12974,10426,31370,39686,44022
26,Luxembourg,5080,5336,5367,5427,5340,6582,7448,8248,9064,9143,10281,10913,10696,9857,10030,10325,10027,0,23127,24844,23958,24820,24636,26272,25993,28997,29012,33922,36127,32404,34811,41485,41726,43235
27,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,349,339,22,162,0,0,0,0,1829,6730,6043,6161,4275,5465,7111,8428
28,Netherlands,219794,156664,138402,131926,131569,155972,171197,191042,181505,196436,232809,237317,228612,233861,188994,190821,216858,219269,244814,238302,265700,266808,242500,209028,188038,184594,202300,233638,287032,245834,253552,260236,249132,258856
29,New Zealand,90458,90032,91310,84168,74095,70782,83249,96729,92860,98299,112319,99847,94339,110034,128164,154268,157363,135064,116388,119116,125940,162183,191949,185416,161125,158124,165624,165282,175099,172998,82469,84187,85255,93965
30,Norway,37387,39216,40761,39950,39219,43501,48174,61442,59024,50564,49822,50962,50760,61591,53027,50729,52615,63682,73408,83682,73035,68527,80244,71914,72964,80296,91552,123548,116246,111906,138428,140674,139816,136626
31,Poland,0,0,0,0,0,0,0,0,0,0,2626,5040,6515,5924,0,0,0,0,17064,15050,14662,13250,13174,14096,18990,18728,21604,29990,63259,378332,310262,314118,435092,440622
32,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,27470,19704,11306,10050,7288,5861,86200,104080,115320,149600,158600,144800,115840,98400,77600,92600,59436,64614,55150,39334,29212,35108
33,Republic of Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,1538,1334,1552,1457,1504,1513,1314,1291,1294,1616,1701,2053,3934,4136,2745,2002,2503,0,0,0
34,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,4458,2053,6600,11907,10078,11024,10350,6582,3266,2987,3704,7714,9575,277858,144450,299770,295370,334532,307292
35,Russian Federation,0,0,0,0,0,0,0,0,0,0,0,692238,926020,923280,1146735,842050,631592,597651,513551,379726,359330,193450,370998,257805,238594,356211,374688,578645,559905,279907,191656,0,0,0
36,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,9109,4923,3055,2477,2303,4104,4144,4548,4046,4624,13102,20780,18820,25222,32530,35640,31286,27540,9658,10838,10298
37,Slovenia,0,0,0,0,0,0,0,0,0,0,7075,5989,3461,2745,1919,5879,17409,13648,9206,9882,12370,15606,18268,18558,20342,30082,40032,58386,61386,60592,30832,28166,30044,27742
38,Spain,20859,9401,15969,17477,17205,20103,14088,16863,24380,33910,33966,24320,38882,33026,34123,36092,29895,57877,162454,254730,724936,829544,966520,1344532,1369122,1438568,1681688,1916532,1198150,785924,721410,742662,608106,561544
39,Sweden,39426,32272,30381,27495,31486,33127,39487,42666,51092,65866,60048,49731,45348,61872,83598,45887,39895,44818,98782,99678,117318,121590,128174,127590,124056,130458,191500,198970,202342,204560,197602,192934,206118,231690
40,Switzerland,0,0,0,0,0,0,0,0,0,0,0,129245,116605,110333,109513,213662,88170,84783,191910,215906,110302,122494,252160,239566,240376,118270,255172,331268,184297,160623,161778,297598,298102,320314
41,The former Yugoslav Republic of Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,639,458,2259,0,1718,2671,2244,1320,0,0,0,1464,1715,0
42,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107424,91530,84946,78978,77134,79160,88454,0,0,0,0,0,0,0
43,United Kingdom of Great Britain and Northern Ireland,173000,153000,201000,202000,201000,232000,250000,211000,216000,250000,267000,377000,309000,295000,362000,329000,352000,375000,664780,708154,728737,744411,771802,862974,1036194,992939,1058016,1053428,1180484,1133028,1181900,1132088,996080,1052092
44,United States of America,530639,596600,594131,559763,543903,570009,601708,601516,643025,1090924,1536483,1827167,973975,904292,804416,720459,915560,797847,653206,644787,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553
